block,chemsys,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,metal
s-block,Mg-S,S,Mg149S_1185578_POSCAR,-1.617398561098014,21.3833625165,-2.4329696387693,-0.8155710776712861,18.2154569585,38.8068430855,35,local_max_drop,Mg
s-block,Li-O,O,Li2O_1245224_POSCAR,-1.0107886950057,17.1948702636,-1.2820343792801,-0.2712456842744,14.6662128719,24.7808424387,35,local_max_drop,Li
s-block,Li-O,O,Li2O_1245303_POSCAR,-0.9772086830926724,16.274359131,-1.2503009771039,-0.2730922940112275,13.8810710235,23.4542234535,35,local_max_drop,Li
s-block,Li-O,O,Li2O_1245092_POSCAR,-0.955589352804511,18.2343897742,-1.2137533486592,-0.2581639958546891,15.0165562847,26.2789734982,35,local_max_drop,Li
s-block,Li-O,O,Li2O_1245009_POSCAR,-0.9362427315035566,16.7896430233,-1.2000443886817,-0.2638016571781434,13.911418505,23.5055002326,35,local_max_drop,Li
s-block,Ba-O,O,BaO_1245311_POSCAR,-0.7225909634722566,21.6303142432,-0.91849227577425,-0.1959013123019933,18.1415538814,34.1898515458,35,local_max_drop,Ba
s-block,Na-O,O,Na2O_1245278_POSCAR,-0.7187373384955631,20.2286311059,-1.0564785733064,-0.3377412348108368,17.163686999,30.0364522482,35,local_max_drop,Na
s-block,Ba-O,O,BaO_1245192_POSCAR,-0.713742264272903,20.4829142608,-0.91468667799083,-0.200944413717927,17.1792184123,32.3762193155,35,local_max_drop,Ba
s-block,Ba-O,O,BaO_1244871_POSCAR,-0.7112515062333151,21.1194325484,-0.91413956286653,-0.2028880566332149,17.7130724599,33.3823288668,35,local_max_drop,Ba
s-block,Ba-O,O,BaO_1245298_POSCAR,-0.7108686082438302,22.2487828536,-0.91060995003442,-0.1997413417905897,18.6602694901,35.1674309622,35,local_max_drop,Ba
s-block,Na-O,O,Na2O_1245205_POSCAR,-0.7092369134128825,20.1017455575,-1.0515088697383,-0.3422719563254174,17.5890273628,30.7807978849,35,local_max_drop,Na
s-block,Ba-O,O,BaO_1245276_POSCAR,-0.6976933070077083,20.3620814425,-0.89888459261397,-0.2011912856062617,17.0778747582,32.1852255058,35,local_max_drop,Ba
s-block,Ba-O,O,BaO_1178531_POSCAR,-0.6282740279891615,6.08423825,-0.77514348042748,-0.1468694524383184,4.90664375,9.61702175,35,local_max_drop,Ba
